,idol,count
6790,...,3
2611,qlair,3
4022,校庭カメラガールドライ,3
2495,ta女子,3
5796,hr,3
1645,ゆる革,3
4829,7放課後プリンセス,3
2474,6passcode,3
2641,riotbaby,3
2640,campus,3
1915,saint sex,3
320,barbee,3
2460,今此処でkissして,3
2629,東京リアリー,3
1664,黒猫の憂鬱,3
358,ノースリーブス,3
357,掟ポルシェ,3
4182,森下華奈子,3
1671,亜利美里,3
1672,シブヤdominion,3
4819,ルリロリ,3
348,小倉唯,3
335,まりえ(36),3
1632,akb48 チーム8,3
1630,ゆいかおり,3
298,ハピくる,3
4232,武井麻里子,3
3000,festive,3
1612,撲我さくら,3
467,cover girls,3
3232,3bjr,3
2668,space girls planet,3
1954,4cheeky parade,3
451,7まねきケチャ,3
260,ぱすぽ,3
4231,信岡ひかる,3
4171,kamoネギ,3
2430,ばんざいわーるど,3
3162,os☆u,3
1901,君僕,3
2483,パンキング隊,3
2659,candy☆drops,3
282,オープニングシスターズ,3
4170,bbts,3
2656,nmb,3
1518,sora tobu sakana,3
3810,(タイテ順),3
1494,aili,3
677,稲場愛香,3
657,テトラルーチェ,3
658,くれよん,3
4338,unite,3
1818,ベビーメタル,3
2741,虹色幻想曲,3
5532,中森明菜,3
2023,らぶちょぴ,3
3091,脇田もなり,3
3324,coco,3
2329,ロジャポ,3
4701,bille idle®︎,3
3322,スライムガールズwest,3
2021,きすちょぴ,3
23,feelneo,3
4032,8,3
2543,虹色幻想曲〜プリズムファンタジア〜,3
722,いたずらマイク,3
3092,僕とジョルジュ,3
1856,7face8,3
2308,ハロプロ研修生北海道,3
2545,葉月あすか,3
2753,ドリームモーニング娘。,3
1804,きゃりーぱみゅぱみゅ,3
63,われらがプワプワプーワプワ,3
2013,n-flavor,3
2015,真野恵里菜,3
1496,sdn48,3
1466,メトロポリス,3
649,snowdrop,3
761,london blue,3
3705,有安杏果,3
1506,little more.,3
4331,サザンクロス,3
3708,どうぶつビスケッツ×ppp,3
104,8bish,3
4105,dressing,3
4320,小森千沙,3
1499,小泉今日子,3
2346,明根凛,3
2000,おはよう!もきゅれーしょん,3
4333,cherish,3
1999,キャラメル☆リボン,3
2737,われプワ,3
4069,望月らいら,3
5012,でんぱ組inc.,3
2355,エビ,3
3791,桜美香,3
767,あれ?,3
1186,松浦亜弥,2
2151,フリぱに,2
4835,littlemore,2
4821,ホワドル,2
3499,上々軍団,2
3498,kotoちゃん,2
1816,ハピアニ,2
2152,ゆり丸,2
1855,有栖川雛姫,2
4562,one of force,2
1920,gallop+,2
1896,fizz.,2
1835,木下りこ,2
3452,readytokiss,2
4914,白星ウィクトーリア,2
2108,secret guyz,2
3503,2バンドじゃないもん!,2
2110,かな?,2
1690,aice5,2
1687,吉河順央,2
3071,舞花,2
3067,東京おとめ太鼓withsaya,2
4557,フェス,2
1808,ようよう,2
4824,1ワンダーウィード,2
1258,ハニバニ,2
2112,kitcat,2
5965,7 神宿,2
1705,フルーツリング,2
1182,ノン☆ストップ!!!,2
2114,nωa,2
1253,team 8,2
1708,べるあみ,2
2149,7むすびズム,2
1251,岡村靖幸,2
2891,福島ゆか,2
5848,アンジュレ,2
3040,10color's,2
1226,at me,2
3139,2on and go!,2
3113,かいぬまみく,2
2896,藤田恵名,2
1788,シャオチャイポン,2
3136,ラブチョピット,2
1761,ボイメン,2
3134,つりびっと,2
2126,ただの女の子,2
1227,kiss bee west,2
3131,8仮面女子,2
1208,po☆,2
4585,むすび,2
5667,コバルトブルーは白昼夢,2
2887,5人のドロシー,2
3469,シトロン,2
4872,p.s.i love u,2
4582,bish(2015),2
3473,ネクロノマイドル,2
5904,↓,2
4879,lucetwinklewink☆,2
2131,ドラドラ,2
5661,7柚之原りえ,2
1785,かちあげガールズ,2
2889,(現役のユニット),2
1232,山本彩,2
2120,ぱじゃるー,2
1858,82回目の終身刑,2
2145,3bis,2
